"label","var_type","n","missing_n","missing_percent","mean","sd","min","quartile_25","median","quartile_75","max"
"NEG","<dbl>",316,0,"0.00","-0.00","1.00","-1.55","-0.80","-0.35","0.69","3.32"
"DET","<dbl>",316,0,"0.00","0.00","1.00","-1.56","-0.81","-0.23","0.63","3.11"
"DIS","<dbl>",316,0,"0.00","0.00","1.00","-1.80","-0.83","-0.29","0.79","2.68"
"ANT","<dbl>",316,0,"0.00","0.00","1.00","-1.40","-0.61","-0.35","0.25","3.90"
"PSY","<dbl>",316,0,"0.00","0.00","1.00","-1.87","-0.73","-0.22","0.48","3.87"
"ORIENTATION","<dbl>",304,12,"3.80","1.51","1.10","1.00","1.00","1.00","1.00","5.00"
"MARITAL","<dbl>",310,6,"1.90","1.37","0.74","1.00","1.00","1.00","1.00","5.00"
"EMPLOYMENT","<dbl>",296,20,"6.33","3.35","1.75","1.00","2.00","4.00","4.00","8.00"
"YEARS_OF_EDUCATION","<dbl>",70,246,"77.85","12.03","2.00","2.00","12.00","12.00","12.00","16.00"
"DEGREE","<dbl>",281,35,"11.08","13.80","2.76","0.00","12.00","12.00","16.00","21.00"
"INCOME","<dbl>",281,35,"11.08","4.17","2.81","1.00","1.00","4.00","7.00","9.00"
"RELIGION","<dbl>",306,10,"3.16","5.93","3.81","1.00","2.00","7.00","10.00","10.00"
"Age","<dbl>",313,3,"0.95","29.99","11.89","17.00","21.00","25.00","36.00","77.00"
"paranoidPD","<dbl>",316,0,"0.00","0.02","0.15","0.00","0.00","0.00","0.00","1.00"
"schizoidPD","<dbl>",316,0,"0.00","0.01","0.11","0.00","0.00","0.00","0.00","1.00"
"schizotypalPD","<dbl>",316,0,"0.00","0.00","0.06","0.00","0.00","0.00","0.00","1.00"
"antisocialPD","<dbl>",316,0,"0.00","0.01","0.08","0.00","0.00","0.00","0.00","1.00"
"borderlinePD","<dbl>",316,0,"0.00","0.10","0.30","0.00","0.00","0.00","0.00","1.00"
"histrionicPD","<dbl>",316,0,"0.00","0.00","0.06","0.00","0.00","0.00","0.00","1.00"
"narcissisticPD","<dbl>",316,0,"0.00","0.03","0.16","0.00","0.00","0.00","0.00","1.00"
"avoidantPD","<dbl>",316,0,"0.00","0.12","0.32","0.00","0.00","0.00","0.00","1.00"
"dependentPD","<dbl>",316,0,"0.00","0.01","0.08","0.00","0.00","0.00","0.00","1.00"
"obsessive_compulsivePD","<dbl>",316,0,"0.00","0.03","0.18","0.00","0.00","0.00","0.00","1.00"
"IntervalinDays","<dbl>",316,0,"0.00","16.07","24.49","0.00","8.00","11.72","17.04","299.50"
"DaysSinceFirst","<dbl>",316,0,"0.00","206.07","246.15","0.00","28.00","110.39","290.23","1268.81"
"DEPRS","<dbl>",316,0,"0.00","1.61","1.53","-1.04","0.36","1.39","2.78","5.34"
"LIFEQ","<dbl>",316,0,"0.00","1.76","1.15","-1.59","1.13","1.90","2.60","4.08"
"MANIC","<dbl>",316,0,"0.00","-0.33","0.63","-1.18","-0.77","-0.47","-0.04","3.37"
"PANIC","<dbl>",316,0,"0.00","1.37","1.94","-0.62","-0.06","0.83","2.10","8.67"
"PSYCS","<dbl>",316,0,"0.00","0.75","1.43","-0.64","-0.34","0.27","1.28","5.88"
"SA","<dbl>",315,1,"0.32","0.76","1.83","-0.34","-0.34","-0.12","1.16","12.49"
"SCONF","<dbl>",316,0,"0.00","0.27","1.23","-1.14","-0.65","-0.06","0.79","4.87"
"SEXFN","<dbl>",314,2,"0.63","0.12","1.15","-0.79","-0.67","-0.33","0.57","5.69"
"SLEEP","<dbl>",316,0,"0.00","0.67","1.31","-1.06","-0.32","0.45","1.32","4.63"
"SUICD","<dbl>",316,0,"0.00","1.11","1.76","-0.19","-0.04","0.38","1.53","10.79"
"VIOLN","<dbl>",316,0,"0.00","0.14","1.19","-0.27","-0.27","-0.27","0.00","11.66"
"WORKF","<dbl>",315,1,"0.32","0.08","0.97","-1.12","-0.62","-0.13","0.63","3.96"
"sessionN","<dbl>",316,0,"0.00","30.24","40.93","1.00","4.00","14.00","37.25","228.00"
