"Outcome","Base","R2_PID5","R2_PD","R2_PID5_int","R2_PID5_slp","R2_PD_int","R2_PD_slp","R2Adj_PID5","R2Adj_PD","BIC_PID5","BIC_PD","CV_MAE_M_PID5","CV_MAE_SD_PID5","CV_MAE_M_SD_PID5","CV_MAE_M_PD","CV_MAE_SD_PD","CV_MAE_M_SD_PD","CV_MAE_pvalue","CV_RMSE_M_PID5","CV_RMSE_SD_PID5","CV_RMSE_M_SD_PID5","CV_RMSE_M_PD","CV_RMSE_SD_PD","CV_RMSE_M_SD_PD","CV_RMSE_pvalue","SigPer_PID5","SigPer_PD","delta_R2_PID5_int","delta_R2_PID5_slp","R2_PID5_base_per","R2_PID5_int_per","R2_PID5_slp_per","delta_R2_PD_int","delta_R2_PD_slp","R2_PD_base_per","R2_PD_int_per","R2_PD_slp_per"
"DEPRS",0.348964094418651,0.647602071612985,0.620262514963856,0.388678747932089,NA,0.569612605130589,NA,0.64195983579709,0.61044020588209,6673.1415322643,7000.99694965673,0.786429389459842,0.0391333174849059,"0.79 (0.04)",0.833853174621922,0.0522836368814461,"0.83 (0.05)",0.0338778294828306,1.03399474432922,0.0462213510869823,"1.03 (0.05)",1.10278638423126,0.09096868709425,"1.1 (0.09)",0.0470440523998273,0.733333333333333,0.0833333333333333,0.0397146535134379,0.258923323680896,0.538855741380636,0.0613257048645946,0.39981855375477,0.220648510711938,0.0506499098332671,0.56260709941336,0.355734072894597,0.0816588276920436
"LIFEQ",0.332963429626743,0.54883242360563,0.447361674267243,0.395747900817529,NA,0.414634379801374,NA,0.541605483022654,0.433060497630906,6063.49281458645,6675.87579030837,0.677621317634133,0.0265126821915724,"0.68 (0.03)",0.768303218837569,0.03700920960907,"0.77 (0.04)",6.14652216060284e-06,0.901399445287861,0.0485354176132123,"0.9 (0.05)",1.0167459842563,0.0630526142177802,"1.02 (0.06)",0.000230139770730434,0.566666666666667,0.0208333333333333,0.0627844711907858,0.153084522788102,0.606675945709063,0.114396432299525,0.278927621991412,0.0816709501746312,0.0327272944658691,0.744282420196412,0.182561347724756,0.0731562320788317
"MANIC",0.207455095145814,0.376941918504099,0.317901829113773,0.252117981802991,NA,0.278171318050361,NA,0.36694786128487,0.300225985721996,4374.12953346408,4736.72519706392,0.411552091546043,0.0216070699352568,"0.41 (0.02)",0.431918197223502,0.0326655513779472,"0.43 (0.03)",0.117443540976461,0.622177996613485,0.0519067410392031,"0.62 (0.05)",0.654630984469833,0.0732018887433245,"0.65 (0.07)",0.267764577708339,0.366666666666667,0.104166666666667,0.0446628866571768,0.124823936701108,0.55036355725334,0.118487449828935,0.331148992917725,0.0707162229045469,0.0397305110634113,0.652575972035597,0.222446731752646,0.124977296211757
"PANIC",0.59553308332569,0.715360476947752,0.659709408608696,0.614710298440222,NA,0.621847021813326,NA,0.710805203373528,0.650911498581958,6668.82306120489,7227.63723590356,0.74041616931995,0.0468349865992426,"0.74 (0.05)",0.842584242602205,0.0480767950948159,"0.84 (0.05)",0.000139194985706187,1.03547211182783,0.0620325679582128,"1.04 (0.06)",1.1782134805334,0.0814526518590768,"1.18 (0.08)",0.000338839935622023,0.366666666666667,0.3125,0.0191772151145327,0.10065017850753,0.832493690267411,0.0268077643824505,0.140698545350138,0.0263139384876367,0.0378623867953695,0.902720312238154,0.0398871656888022,0.0573925220730441
"PSYCS",0.204335386381712,0.548853010133281,0.419511012091187,0.345734885903421,NA,0.338700916392672,NA,0.541606500429134,0.40444734975435,6737.19835255161,7457.31345251258,0.705617473101119,0.0463311490319232,"0.71 (0.05)",0.862461062462954,0.0677418998417967,"0.86 (0.07)",1.03129617697265e-05,1.05644612712039,0.0919442365496518,"1.06 (0.09)",1.26030106651043,0.115185698878684,"1.26 (0.12)",0.000365937884878136,0.433333333333333,0.25,0.141399499521708,0.20311812422986,0.372295282360012,0.257627264333253,0.370077453306735,0.134365530010959,0.0808100956985152,0.487079910877994,0.32029082941392,0.192629259708086
"SA",0.221869487259063,0.515722127278017,0.341992361306561,0.30683577551682,NA,0.263837681877093,NA,0.510626797418636,0.331706264885607,7550.31727848383,8312.51797933499,0.6747946890094,0.0826193494573623,"0.67 (0.08)",0.828020820426837,0.0558767268580351,"0.83 (0.06)",0.000126353242347926,1.2912788147667,0.216019643090628,"1.29 (0.22)",1.52465903225835,0.124620378848132,"1.52 (0.12)",0.00839586008718659,0.55,0.310344827586207,0.0849662882577578,0.208886351761196,0.43021130086097,0.164752070472931,0.405036628666098,0.0419681946180306,0.0781546794294682,0.648755681008264,0.1227167602741,0.228527558717636
"SCONF",0.303232382870541,0.486867364237533,0.505423538111761,0.350404634332296,NA,0.430472625495274,NA,0.481488125120607,0.496798524090764,6765.86911550009,6799.73983234034,0.80828360587072,0.059386909655681,"0.81 (0.06)",0.785727265462355,0.0689926991174391,"0.79 (0.07)",0.443484018327802,1.07794682908763,0.0823926537651451,"1.08 (0.08)",1.06342281690534,0.0914861702361382,"1.06 (0.09)",0.713471347826493,0.6,0.151515151515152,0.0471722514617551,0.136462729905237,0.622823391223651,0.0968893274159585,0.280287281360391,0.127240242624734,0.0749509126164868,0.599956986576848,0.251749736666593,0.148293276756559
"SEXFN",0.295518190194936,0.425075418123179,0.394538428205615,0.315768188058578,NA,0.316282177047226,NA,0.415806712289145,0.378768266335622,6564.67966383401,6840.58400302848,0.686219630114223,0.0634278973575213,"0.69 (0.06)",0.692035738287047,0.0265399578116685,"0.69 (0.03)",0.792127834125791,1.01781868773777,0.127016188888587,"1.02 (0.13)",1.05366291298067,0.0920939123014827,"1.05 (0.09)",0.479283130593108,0.433333333333333,0.125,0.0202499978636417,0.109307230064601,0.695213549397252,0.0476386001172469,0.257147850485501,0.0207639868522896,0.0782562511583891,0.749022576936222,0.0526285536917797,0.198348869371998
"SLEEP",0.369054045756009,0.557759768857351,0.473173738258429,0.407846111375814,NA,0.402998656753172,NA,0.550672585665963,0.459534223391333,6685.43699992161,7235.78653121266,0.773545929042709,0.0515316392857903,"0.77 (0.05)",0.865837956874101,0.0702349289963297,"0.87 (0.07)",0.00356233165917223,1.03603941623791,0.0775336427590311,"1.04 (0.08)",1.14064955467899,0.0659972537581401,"1.14 (0.07)",0.00445555550101686,0.566666666666667,0.0833333333333333,0.0387920656198054,0.149913657481538,0.661672042987373,0.0695497735508538,0.268778183461773,0.0339446109971636,0.0701750815052566,0.77995462536521,0.0717381550423756,0.148307219592415
"SUICD",0.337535762358035,0.61070645538227,0.542192391467732,0.360187720795527,NA,0.477996015588357,NA,0.60445632966593,0.530317807828173,7702.29956814637,8223.31983416608,0.732949042492025,0.0461847224298732,"0.73 (0.05)",0.813272897265402,0.10152532219016,"0.81 (0.1)",0.0352038882810145,1.31519817748032,0.203056308228285,"1.32 (0.2)",1.43422929003691,0.253225997728047,"1.43 (0.25)",0.261337592081651,0.533333333333333,0.0833333333333333,0.0226519584374918,0.250518734586743,0.552697223655112,0.0370914016674557,0.410211374677433,0.140460253230322,0.064196375879375,0.622538729184884,0.25905980135592,0.118401469459196
