"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"DEPRS",1,249,2.36437751004016,1.61345867790242,2.46,2.38880597014925,2.031162,-1.04,5.4,6.44,-0.0815646425810841,-1.05713061811433,0.102248789140592
"MANIC",2,249,0.0461847389558233,0.845575952555626,-0.1,-0.0413930348258706,0.681996,-1.18,4.55,5.73,1.71396315281982,5.32102173614527,0.0535861986794836
"PANIC",3,249,1.97052208835341,2.13423650332645,1.57,1.7526368159204,2.120118,-0.62,8.67,9.29,0.810338823480232,0.0513827344543816,0.135251742851254
"PSYCS",4,249,1.49939759036145,2.1601790263684,0.92,1.1463184079602,1.601208,-0.64,12.26,12.9,1.72796825669242,3.72446896982348,0.136895783448401
"SA",5,249,1.03927710843373,2.10464699924944,0.29,0.577860696517413,0.934038,-0.34,11.2,11.54,2.14113384661405,4.96340468085643,0.133376584221794
"SLEEP",6,249,0.99140562248996,1.52468665214408,0.74,0.862786069651741,1.4826,-1.06,4.63,5.69,0.660132929775656,-0.505864119593423,0.0966230905914683
"SUICD",7,249,1.94995983935743,2.8715416082756,0.69,1.38203980099502,1.304688,-0.19,15.8,15.99,2.13786071249032,5.39447238177971,0.181976555355431
"VIOLN",8,249,0.401807228915663,1.87070032464448,-0.27,-0.0625373134328358,0,-0.27,13.32,13.59,4.28949295095003,21.4234139314278,0.118550816119122
"SCONF",9,249,0.862489959839357,1.58386707274716,0.68,0.713482587064677,1.616034,-1.14,5.09,6.23,0.709844873264266,-0.228882021171989,0.100373497360709
"WORKF",10,248,0.634677419354839,1.30394880521191,0.51,0.5459,1.571556,-1.12,4.24,5.36,0.436798764720782,-0.654214007622331,0.0828008319318293
"SEXFN",11,247,0.587651821862348,1.3847403531922,0.27,0.37572864321608,1.156428,-0.79,5.97,6.76,1.26775013937486,1.41672118675529,0.0881089187413895
"LIFEQ",12,249,1.97265060240964,1.20186724785283,2.16,2.04427860696517,1.171254,-1.59,4.22,5.81,-0.574462111848726,0.0571164450814465,0.076165242087545
