"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"ID*",1,249,159.987951807229,91.7788137900428,156,159.870646766169,120.0906,1,316,315,0.0333794122279595,-1.23498498327039,5.81624599831205
"DEPRS",2,247,-0.659919028340081,1.28517278959212,-0.49,-0.614170854271357,1.082298,-4.58,4.49,9.07,-0.156295734320073,1.33719558450795,0.0817735863808542
"MANIC",3,247,-0.324453441295547,0.783597346655324,-0.22,-0.285376884422111,0.504084,-4.1,2.13,6.23,-0.698113211064867,3.27055445321369,0.0498591051985031
"PANIC",4,248,-0.64,1.5248200265475,-0.41,-0.65775,1.149015,-5.13,5.37,10.5,0.267571294901102,1.92474119138894,0.0968261685119833
"PSYCS",5,247,-0.653198380566802,1.76628678222721,-0.28,-0.531306532663317,1.082298,-11.71,4.79,16.5,-1.33469366134808,6.97115063173656,0.112386136657669
"SA",6,244,-0.372540983606557,1.80011707962872,0,-0.344948979591837,0.934038,-7.05,9.62,16.67,0.374545003061433,6.22834466284426,0.115240687194789
"SLEEP",7,249,-0.271606425702811,1.33641395072802,-0.17,-0.247114427860697,0.948864,-5.69,4.55,10.24,-0.260550611073235,2.11357663751291,0.0846917929315572
"SUICD",8,247,-0.864291497975708,2.41098523447623,0,-0.501407035175879,0.637518,-14.89,5.04,19.93,-2.61543600669973,10.5434934749353,0.153407316845681
"VIOLN",9,248,-0.284112903225806,1.51802557258536,0,-0.09565,0,-11.25,7.08,18.33,-2.67243968521204,18.6333797775901,0.0963947202539389
"SCONF",10,248,-0.692298387096774,1.36551037442762,-0.475,-0.60915,1.000755,-6.1,3.88,9.98,-0.719160692901295,2.08402483243656,0.0867099954861926
"WORKF",11,247,-0.525506072874494,1.08874379716133,-0.28,-0.475326633165829,0.859908,-5.36,2.62,7.98,-0.647295820623913,1.26413794498068,0.0692751088918147
"SEXFN",12,246,-0.338170731707317,1.27427430620977,-0.275,-0.355050505050505,0.756126,-5.11,6.76,11.87,0.394237720907243,5.23475142917098,0.0812447623694294
"LIFEQ",13,248,-0.178911290322581,1.0607304145454,-0.04,-0.1349,0.88956,-4.64,3.28,7.92,-0.500414174587224,2.06855445848758,0.067356448680115
