"label","var_type","n","missing_n","missing_percent","mean","sd","min","quartile_25","median","quartile_75","max"
"ID","<int>",318,0,"0.00","159.50","91.94","1.00","80.25","159.50","238.75","318.00"
"NEG","<dbl>",318,0,"0.00","-0.00","1.00","-1.55","-0.79","-0.35","0.68","3.32"
"DET","<dbl>",318,0,"0.00","0.00","1.00","-1.56","-0.81","-0.23","0.63","3.11"
"DIS","<dbl>",318,0,"0.00","-0.00","1.00","-1.80","-0.83","-0.29","0.78","2.68"
"ANT","<dbl>",318,0,"0.00","-0.00","1.00","-1.40","-0.61","-0.35","0.24","3.90"
"PSY","<dbl>",318,0,"0.00","-0.00","1.00","-1.87","-0.73","-0.22","0.48","3.87"
"ORIENTATION","<int>",304,14,"4.40","1.51","1.10","1.00","1.00","1.00","1.00","5.00"
"MARITAL","<int>",310,8,"2.52","1.37","0.74","1.00","1.00","1.00","1.00","5.00"
"EMPLOYMENT","<int>",296,22,"6.92","3.35","1.75","1.00","2.00","4.00","4.00","8.00"
"YEARS_OF_EDUCATION","<dbl>",70,248,"77.99","12.03","2.00","2.00","12.00","12.00","12.00","16.00"
"DEGREE","<int>",281,37,"11.64","13.80","2.76","0.00","12.00","12.00","16.00","21.00"
"INCOME","<int>",281,37,"11.64","4.17","2.81","1.00","1.00","4.00","7.00","9.00"
"RELIGION","<int>",306,12,"3.77","5.93","3.81","1.00","2.00","7.00","10.00","10.00"
"Age","<dbl>",313,5,"1.57","29.99","11.89","17.00","21.00","25.00","36.00","77.00"
"paranoidPD","<int>",317,1,"0.31","0.02","0.15","0.00","0.00","0.00","0.00","1.00"
"schizoidPD","<int>",317,1,"0.31","0.01","0.11","0.00","0.00","0.00","0.00","1.00"
"schizotypalPD","<int>",317,1,"0.31","0.00","0.06","0.00","0.00","0.00","0.00","1.00"
"antisocialPD","<int>",317,1,"0.31","0.01","0.08","0.00","0.00","0.00","0.00","1.00"
"borderlinePD","<int>",317,1,"0.31","0.10","0.30","0.00","0.00","0.00","0.00","1.00"
"histrionicPD","<int>",317,1,"0.31","0.00","0.06","0.00","0.00","0.00","0.00","1.00"
"narcissisticPD","<int>",317,1,"0.31","0.03","0.16","0.00","0.00","0.00","0.00","1.00"
"avoidantPD","<int>",317,1,"0.31","0.12","0.32","0.00","0.00","0.00","0.00","1.00"
"dependentPD","<int>",317,1,"0.31","0.01","0.08","0.00","0.00","0.00","0.00","1.00"
"obsessive_compulsivePD","<int>",317,1,"0.31","0.03","0.18","0.00","0.00","0.00","0.00","1.00"
