"Sx_Code","Sx_Description","MR4","MR1","MR2","MR3","MR8","MR6","MR7","MR5"
"antisocial_cd","Behavioral problems",0.386673783029368,-0.0375840629162572,0.12248087306646,0.191001882842271,0.0354156208812858,-0.0157610501701934,-0.188349376787435,0.0683440986147847
"antisocial1","Irresponsibility (work)",0.304199060574435,-0.0135447317506627,-0.0809384959573822,-0.0146383096073026,0.0921897802538385,-0.00643552847267573,0.323525378034285,0.0190157333075396
"antisocial2","Impulsivity (planning)",0.257070759759745,0.122096171516761,-0.00980054911947284,0.0410394798768763,0.199765505893403,-0.127538125715325,-0.0810365588867757,-0.111349035163865
"antisocial3","Irresponsibility (financial)",0.35494886161061,0.152664915861645,0.00023561115353901,-0.0368298072847301,0.134322474222259,-0.125740690264332,0.141973653758185,-0.000424472294726599
"antisocial4","Aggressiveness",0.500843624378069,0.148323192721804,-0.0348931685778346,0.0327807252315891,0.138777365405365,-0.0632090284842137,0.0106789117774479,0.0886693995286693
"antisocial5","Deceitfulness",0.34229582411982,-0.0640278677655851,-0.0376822180364454,0.282675892744811,0.013256875375362,0.169443415265955,0.0770692319817317,0.0586574193634403
"antisocial6","Recklessness",0.603732707042831,-0.0533796404443758,0.0242898371983406,-0.00238755551442623,-0.0818765934161223,-0.00803330236612448,0.00495486035327673,0.0966466680749731
"antisocial7","Illegal behavior",0.752980815340986,0.00177936729696064,-0.0320271284271621,0.0284453543432815,-0.00623546677028472,-0.0471710186947177,0.023229596723526,-0.0396318611777932
"antisocial8","No remorse",0.556339170367845,0.00683098261246505,-0.0480508179270969,0.209705813234876,0.126700985725265,-0.0431990286917521,-0.089890914341009,-0.210583604606124
"avoidant1","Avoid rejections",0.0716098269609144,-0.154165525808204,0.402339807430867,-0.0683960350938093,0.186621638369621,0.148640980195382,0.0765293887777016,-0.117420564276499
"avoidant2","Inferiority feelings",-0.0804727457887797,0.0247279358704166,0.666272076371328,0.0521208774117239,-0.00757882002982602,0.0263095602051757,0.0640179047895503,0.0678825494661184
"avoidant3","Inadequacy feelings",0.00927251154974181,-0.00361259690207191,0.760606173650775,-0.0420646475823874,-0.0479321995011638,-0.105031623793488,0.0139483466201213,-0.00146450553711675
"avoidant4","Relationship restraint",-0.0156282065124581,-0.037363115159034,0.326378204236284,0.00738507435353105,0.0735989605386317,0.0703510956966854,0.019232736432403,0.0718020003521374
"avoidant5","Avoid intimacy",0.00931486862292998,-0.107364643948318,0.535907891686613,0.0784013205104966,0.177065791469127,0.153166677271154,-0.0991422457785728,0.0175040637125488
"avoidant6","Fear of criticism and rejection",0.00896999834294943,0.130571750621654,0.60312617338553,0.0706269298946334,-0.0201157031493629,0.0825798045043108,-0.0807516458926318,-0.0183664501292315
"avoidant7","Avoid interpersonal risk",-0.0444948574053983,0.123275664090882,0.497666397572051,-0.0776161875433692,0.0544453102543539,0.0678096091742787,0.0176790196419477,0.117546403933283
"borderline1","Identity disturbance (self-image)",-0.0447401795826844,0.256573412291001,0.119991550405065,0.1107706482043,0.0389108577717354,0.0333221574035342,0.462839480478358,-0.0904361994148023
"borderline10","Sexual impulsivity",0.317178724577718,0.411081184201673,-0.00856110545398768,-0.00479634361692753,0.0389581941309362,0.062685305511066,0.0744482375665537,-0.00210997853363063
"borderline11","Identity disturbance (gender)",0.0338786881134855,0.19789643302645,-0.0258885711578266,0.154728864465228,0.00106504421995942,0.101640522786688,0.0220777287740262,-0.0427127320080141
"borderline12","Paranoia/dissociation",0.111657953159262,0.352178397715209,0.0658529246067435,0.140989726785507,-0.0166822542417122,0.102222098371061,0.0990073517804797,-0.0948503552969774
"borderline13","Impulsivity (self-damaging)",0.601755480482331,0.134573917687714,0.0177485487184974,-0.12896339595863,-0.115765209494307,0.111632170151687,0.124817297893524,0.129771297997354
"borderline14","Self-injuring/suicide",0.247082365802844,0.42779946145829,0.102877566987071,-0.110079618651049,-0.0313345887844099,-0.074230551541772,0.0797222056390901,0.0265865307747094
"borderline2","Identity disturbance (goals)",0.0477368152549919,0.017794905410757,-0.0306041305047029,-0.0239435614678944,0.0821270247295874,0.0223839734341221,0.653163527348859,0.0513586833541912
"borderline3","Identity disturbance(values)",0.0954806654266689,-0.0377360555172698,0.0017456336893829,0.111207357909006,0.0775986631193032,0.268806823104732,0.440337668904489,-0.0606813073560781
"borderline4","Identity disturbance (friendship)",0.0100074960651863,0.295284073004962,0.0065873608002146,0.0897651622273919,0.0605495340575223,0.139510118297973,0.203793856136477,-0.182301380178399
"borderline5","Unstable and intense relationships",0.102924009141944,0.571648621000509,0.0826960354559444,0.132871238930137,0.0193761992146275,0.029582139746988,0.117987233494013,0.062943168485501
"borderline6","Chronic emptiness",-0.0210160437892082,0.29143073540136,0.192546219614509,0.0708547867280073,-0.0902476566811495,0.0259091145561197,0.438513233553102,0.0057706632103334
"borderline7","Fear of abandonment",0.0601113608395049,0.50651702432439,0.00189058790887664,-0.0144731983467647,0.101971278834295,0.171189967086578,-0.0128634592305586,-0.0261965761564801
"borderline8","Affective instability",0.110747376056163,0.490943313190402,0.102168817806211,0.0199984316473201,-0.0632974073760154,-0.00116304769282304,0.170333536365721,0.135475639682217
"borderline9","Intense anger",0.329733623662772,0.342987916479221,0.053865190509243,0.0232255871695976,-0.0263196768439994,0.0218186014536197,0.0606989113298796,0.146880947984963
"dependent1","Inability to make decisions on own",-0.052332995485585,0.0721819085262626,-0.00715095524173161,-0.0914847085160173,0.0162690504962,0.508521718612652,-0.0194873689674699,0.0724212369756644
"dependent2","Gives other responsibility",-0.0419164660147055,0.0757972204664933,-0.0235137042203955,-0.0498757622254905,0.0619554640107989,0.411586742132056,0.177882885293912,-0.020445276627867
"dependent3","Can't initiate tasks",-0.0423641102165593,-0.0461549986789211,0.0998529422594465,0.0216078763276063,-0.043290755178746,0.597658084990608,0.062301521998481,-0.119825631629848
"dependent4","Replaces relationships quickly",0.168627147508662,0.155469928510892,0.149180691504614,0.10021735824618,0.112995959086988,0.311463781428277,-0.106839729966868,0.0190294051658794
"dependent5","Always agrees with others",0.0392221784572617,-0.0893801080151681,0.190259488173791,-0.0323622473576711,-0.0709538862246826,0.252068528979552,0.107428544195448,-0.0162509876521655
"dependent8","Fear of being left to care for self",-0.151547872861209,0.106303585128519,0.0169110124324642,-0.0403369372442467,-0.0909479542572231,0.387453908959467,0.0200705879983802,0.0107011915364225
"histrionic1","suggestible",0.125264769294906,0.0309520291275173,-0.00809578346559617,-0.0621694073080502,-0.112260811761714,0.333037491636324,0.155669157838999,0.110230457233844
"histrionic2","Desire to be center of attention",-0.0451970544396425,0.0156308004455448,-0.0850867060605557,0.307738394630682,0.121320840764513,0.361515824950038,0.0399529264085541,-0.0434783525584265
"histrionic3","Uses appearance to attract attention",0.0323683681248259,0.222544237436281,-0.1377761949116,0.202532921059164,0.0694208290468561,0.0863288172682273,0.0461478398134523,0.151331803607472
"histrionic4","Thinks other are closer than in reality",0.0227430165298625,0.291858737345852,-0.0129976389115138,0.0102677841654059,0.0692425406989814,0.133977324681898,-0.0441875724076659,0.214011358514371
"histrionic5","self-dramatization",-0.146889942423359,0.378908735475333,-0.0374441783315486,0.254530186193841,0.0395019503877698,0.00573247790425621,-0.0222106822030711,0.0236588004268171
"histrionic6","shallow or shifting emotions",-0.000623943121876091,0.397385033617259,-0.0366204344126215,-0.026530049741915,0.179775217469588,0.0847822679148953,0.0629428813209384,0.121777830000665
"histrionic7","Provocative or sexualized behavior",0.224965637531868,0.210764035508503,-0.111718236424579,0.0716392986309168,0.111724619510162,0.0852451323313038,-0.0327786224706213,0.082015878083684
"narcissistic1","Requires excessive admiration",0.0371808072729431,-0.0757356079172742,-0.0360809169906468,0.566255905691401,0.0136878080041937,0.117137043925401,-0.0551989357060189,-0.0188868160867929
"narcissistic2","Grandiosity",0.0718402586916599,0.0878146376660402,-0.0731077468473963,0.511215851926846,-0.0391492989276035,-0.0797252423005693,0.102993801574029,0.0740428713252942
"narcissistic3","Fantasies",-0.0679603807476955,0.0587115367686515,0.162838199300565,0.544082894140306,0.0350318682668726,-0.00758714307304482,-0.00862108862138602,0.0167342434828943
"narcissistic4","Feelings of uniqueness",0.0719759461119773,-0.0473184244957083,0.00917207164719447,0.477213968601823,0.0431928731330713,-0.0238312867333689,0.163507508732042,0.0248098494160484
"narcissistic5","Lacks empathy ",0.120699742660348,-0.206262443759961,-0.129306361836585,0.262004895008641,0.027322045975434,-0.0118712043616794,0.263863935809561,0.287845030975059
"narcissistic6","sense of entitlement ",0.0197324065915493,0.0167818624131212,-0.0155746756654188,0.540837231000276,0.0578332918552463,-0.0725786753823236,-0.044388778979828,0.102459744682592
"narcissistic7","Exploitative",0.151627740148801,-0.090122704180193,-0.105708106897748,0.306809849055887,0.133555328117683,0.0958457228738357,0.132432435127872,0.138255700572433
"narcissistic8","Envious of others/perceives others as envious",-0.152003724403763,0.183414960199632,0.0803371646816154,0.47976400599196,-0.0501390204777073,-0.0316370673508427,0.0613834169049776,-0.00401780238608071
"narcissistic9","Arrogant, haughty",0.0888543182497302,-0.0156853482874545,0.00676252457972427,0.57810592045017,-0.0963095531001091,-0.0187296344023895,-0.0343850643658768,-0.0241529771756941
"oc3","Preoccupied with details",0.0687128626981094,-0.131656252220025,0.128690982924318,0.0530784976918566,-0.0561030207021427,0.147638225649014,-0.0443197093991331,0.348911384116
"oc4","Hoarding",0.0200379521696895,0.0239065173735459,0.0333030538177265,-0.0519695905889848,0.139614285562415,0.389839816091206,-0.11624060638887,0.277162727864946
"oc7","Can't delegate tasks",-0.0217112204135984,0.0328434475284672,-0.0220682015410653,0.0359948513355353,0.0190200814990941,0.0309166487264369,-0.0365869025878725,0.613460140717078
"oc8","Rigid and stubborn",0.0725416094933819,-0.00980124969291514,0.177724693421045,0.0444049430291183,0.0518040072701405,-0.117173594955892,0.0223887018117759,0.534837520301078
"paranoid1","Reluctant to confide due to fear of maliciousness",-0.141495194355425,-0.0210095771746928,0.0157061197132483,-0.0271929788439711,0.411056389443208,-0.0771134300533364,0.240411311783961,0.25408823599369
"paranoid2","Unjustified doubt in loyalty and trust",0.0170842843147818,0.177314783316038,0.0374692719052035,-0.0475081660910392,0.489204935137855,0.0548029407614821,-0.049338493124684,0.197759629854442
"paranoid3","Persistent grudges",-0.0188826884539804,0.14324350589189,0.00765519676148851,0.169757503585983,0.149092315683374,-0.0586892936093853,0.0591610014443618,0.368133224944133
"paranoid4","Perceives attacks on character",-0.0505958536663006,0.191676322406944,-0.00714109426219378,0.13047753418631,0.250943129239372,0.0993025692932488,0.0724411919423715,-0.0614779059156034
"paranoid5","Perceives hidden threatening ",0.0268393554541434,0.112352350724507,-0.0171429839387289,0.15487008595568,0.44414058188156,0.116048501468349,-0.0577026826730554,0.0691415550337999
"paranoid6","suspects harm, exploitation, and deceit",-0.0421797630696306,0.32877667838746,-0.00610628627577045,0.0995481974231787,0.438055676860717,0.0277756501345119,0.0293244848031512,-0.0506219967496271
"paranoid7","suspects infidelity",0.137435489820387,0.0842662863418007,0.0155005428880328,0.0496329138462232,0.192871041235832,0.0863450043257421,-0.0767852646678224,0.125101387923635
"schizoid1","No close friends",0.0547958140905586,-0.144125192439987,0.0876234024123558,-0.0657612392849135,0.424224267804185,-0.102989268750675,0.174861431371224,0.00717631554831795
"schizoid2","No desire for relationships",-0.0251730366255813,-0.133815082809956,0.0320557948539689,0.0455560466577148,0.434324099217,0.0706016845551223,0.154555703939604,0.0699212546348314
"schizoid3","Almost always solitary",0.13559500365658,-0.271640957066941,0.320717102465558,-0.0420518042434826,0.222970384187312,0.0124421013570889,0.167109076425746,-0.0537744628465092
"schizoid6","No interest in sexual activity",-0.053324850605744,-0.0342109301796601,0.260532174195272,-0.0319328822296042,0.0478536560272698,0.0202312116182706,0.179133264474703,-0.0588729157871414
"schizotypal1","Social anxiety",0.0493025813187153,-0.112674743561692,0.221365911907544,-0.0611899467449717,0.4655503040141,0.00106198882694879,0.0636572889939969,-0.0968059172770334
"schizotypal2","Ideas of reference",0.0788252627569883,0.14823679699857,0.211556680504365,-0.0932155582265109,0.208499830382054,0.171990338548546,-0.0786766864143067,0.00681745265305626
