"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"ID*",1,67,152.970149253731,90.2793593895945,171,153.381818181818,109.7124,3,310,307,-0.138257789492947,-1.22802950899094,11.0293791734699
"paranoidPD",2,67,0.0298507462686567,0.171459797720291,0,0,0,0,1,1,5.40222380812676,27.5965762462087,0.0209471482169324
"schizoidPD",3,67,0,0,0,0,0,0,0,0,NA,NA,0
"schizotypalPD",4,67,0,0,0,0,0,0,0,0,NA,NA,0
"antisocialPD",5,67,0,0,0,0,0,0,0,0,NA,NA,0
"borderlinePD",6,67,0.0895522388059701,0.287694244451234,0,0,0,0,1,1,2.81077347221379,5.99052328277867,0.0351474459891143
"histrionicPD",7,67,0,0,0,0,0,0,0,0,NA,NA,0
"narcissisticPD",8,67,0.0149253731343284,0.122169444356305,0,0,0,0,1,1,7.8224912878888,60.0888839385164,0.0149253731343284
"avoidantPD",9,67,0.104477611940299,0.308187681808429,0,0.0181818181818182,0,0,1,1,2.5284532240138,4.46031250994494,0.0376511178439935
"dependentPD",10,67,0,0,0,0,0,0,0,0,NA,NA,0
"obsessive_compulsivePD",11,67,0,0,0,0,0,0,0,0,NA,NA,0
